,Narrative,document number
10261,3.0,07-0634
10262,-1.0,07-0635
10263,-1.0,07-0636
10264,17.0,07-0637
10265,-1.0,07-0638
10266,-1.0,07-0639
10267,-1.0,07-0641
10268,4.0,07-0642
10269,-1.0,07-0643
10270,-1.0,07-0644
10271,84.0,07-0645
10272,9.0,07-0646
10273,11.0,07-0647
10274,11.0,07-0648
10275,35.0,07-0651
10276,2.0,07-0652
10277,74.0,07-0653
10278,55.0,07-0654
10279,1.0,07-0655
10280,56.0,07-0656
10281,-1.0,07-0657
10282,37.0,07-0658
10283,14.0,07-0659
10284,-1.0,07-0662
10285,-1.0,07-0663
10286,70.0,07-0665
10287,3.0,07-0666
10288,20.0,07-0667
10289,-1.0,07-0668
10290,13.0,07-0669
10291,7.0,07-0671
10292,32.0,07-0672
10293,13.0,07-0673
10294,3.0,07-0674
10295,0.0,07-0675
10296,30.0,07-0676
10297,-1.0,07-0677
10298,-1.0,07-0678
10299,8.0,07-0679
10300,3.0,07-0681
10301,14.0,07-0682
10302,39.0,07-0683
10303,2.0,07-0684
10304,-1.0,07-0685
10305,9.0,07-0686
10306,-1.0,07-0687
10307,-1.0,07-0688
10308,9.0,07-0689
10309,-1.0,07-0691
10310,11.0,07-0692
10311,0.0,07-0693
10312,14.0,07-0694
10313,1.0,07-0695
10314,-1.0,07-0696
10315,-1.0,07-0697
10316,38.0,07-0698
10317,-1.0,07-0699
10318,-1.0,07-0702
10319,88.0,07-0703
10320,2.0,07-0704
10321,-1.0,07-0705
10322,19.0,07-0706
10323,-1.0,07-0707
10324,1.0,07-0708
10325,31.0,07-0709
10326,8.0,07-0711
10327,8.0,07-0712
10328,8.0,07-0713
10329,4.0,07-0714
10330,5.0,07-0715
10331,-1.0,07-0716
10332,27.0,07-0717
10333,-1.0,07-0718
10334,0.0,07-0719
10335,18.0,07-0721
10336,52.0,07-0722
10337,21.0,07-0723
10338,6.0,07-0724
10339,-1.0,07-0725
10340,11.0,07-0726
10341,35.0,07-0727
10342,44.0,07-0728
10343,-1.0,07-0729
10344,37.0,07-0731
10345,13.0,07-0732
10346,-1.0,07-0733
10347,-1.0,07-0734
10348,15.0,07-0735
10349,27.0,07-0736
10350,7.0,07-0737
10351,-1.0,07-0738
10352,8.0,07-0739
10353,-1.0,07-0741
10354,-1.0,07-0742
10355,12.0,07-0743
10356,-1.0,07-0744
10357,8.0,07-0745
10358,8.0,07-0746
10359,-1.0,07-0747
10360,29.0,07-0748
10361,5.0,07-0749
10362,4.0,07-0751
10363,77.0,07-0752
10364,-1.0,07-0753
10365,-1.0,07-0754
10366,42.0,07-0755
10367,23.0,07-0756
10368,8.0,07-0757
10369,-1.0,07-0759
10370,-1.0,07-0761
10371,-1.0,07-0762
10372,2.0,07-0763
10373,-1.0,07-0764
10374,23.0,07-0765
10375,-1.0,07-0766
10376,45.0,07-0767
10377,2.0,07-0768
10378,0.0,07-0769
10379,18.0,07-0771
10380,-1.0,07-0772
10381,2.0,07-0773
10382,11.0,07-0774
10383,31.0,07-0775
10384,-1.0,07-0776
10385,-1.0,07-0777
10386,-1.0,07-0779
10387,-1.0,07-0781
10388,-1.0,07-0782
10389,79.0,07-0783
10390,0.0,07-0784
10391,4.0,07-0785
10392,-1.0,07-0786
10393,-1.0,07-0787
10394,-1.0,07-0788
10395,13.0,07-0789
10396,-1.0,07-0791
10397,-1.0,07-0792
10398,21.0,07-0793
10399,-1.0,07-0794
10400,-1.0,07-0795
10401,-1.0,07-0796
10402,12.0,07-0797
10403,17.0,07-0798
10404,-1.0,07-0799
10405,12.0,07-0801
10406,81.0,07-0802
10407,2.0,07-0803
10408,41.0,07-0804
10409,32.0,07-0806
10410,46.0,07-0807
10411,-1.0,07-0808
10412,37.0,07-0812
10413,-1.0,07-0813
10414,0.0,07-0814
10415,-1.0,07-0815
10416,-1.0,07-0816
10417,17.0,07-0817
10418,35.0,07-0818
10419,-1.0,07-0819
10420,9.0,07-0821
10421,6.0,07-0822
10422,-1.0,07-0823
10423,17.0,07-0824
10424,13.0,07-0825
10425,99.0,07-0826
10426,-1.0,07-0828
10427,13.0,07-0829
10428,13.0,07-0831
10429,13.0,07-0832
10430,-1.0,07-0833
10431,57.0,07-0834
10432,97.0,07-0835
10433,-1.0,07-0836
10434,0.0,07-0837
10435,-1.0,07-0838
10436,24.0,07-0839
10437,-1.0,07-0841
10438,-1.0,07-0842
10439,89.0,07-0843
10440,-1.0,07-0844
10441,0.0,07-0845
10442,30.0,07-0846
10443,4.0,07-0847
10444,-1.0,07-0848
10445,-1.0,07-0849
10446,-1.0,07-0851
10447,0.0,07-0852
10448,-1.0,07-0853
10449,5.0,07-0854
10450,2.0,07-0855
10451,32.0,07-0856
10452,2.0,07-0857
10453,1.0,07-0858
10454,-1.0,07-0859
10455,0.0,07-0861
10456,-1.0,07-0862
10457,16.0,07-0863
10458,-1.0,07-0864
10459,13.0,07-0865
10460,-1.0,07-0866
10461,-1.0,07-0867
10462,2.0,07-0868
10463,-1.0,07-0869
10464,-1.0,07-0871
10465,14.0,07-0872
10466,-1.0,07-0873
10467,-1.0,07-0874
10468,66.0,07-0875
10469,5.0,07-0876
10470,53.0,07-0877
10471,1.0,07-0881
10472,-1.0,07-0882
10473,7.0,07-0883
10474,-1.0,07-0884
10475,1.0,07-0885
10476,7.0,07-0886
10477,51.0,07-0887
10478,-1.0,07-0889
10479,-1.0,07-0892
10480,-1.0,07-0893
10481,5.0,07-0894
10482,6.0,07-0895
10483,-1.0,07-0896
10484,-1.0,07-0897
10485,-1.0,07-0898
10486,1.0,07-0899
10487,7.0,07-0901
10488,52.0,07-0902
10489,-1.0,07-0903
10490,77.0,07-0904
10491,-1.0,07-0905
10492,-1.0,07-0906
10493,16.0,07-0907
10494,-1.0,07-0908
10495,-1.0,07-0909
10496,0.0,07-0911
10497,39.0,07-0912
10498,37.0,07-0913
10499,-1.0,07-0914
10500,12.0,07-0915
10501,-1.0,07-0916
10502,-1.0,07-0917
10503,3.0,07-0918
10504,48.0,07-0919
10505,21.0,07-0921
10506,2.0,07-0923
10507,-1.0,07-0924
10508,-1.0,07-0925
10509,14.0,07-0926
10510,92.0,07-0927
10511,1.0,07-0928
10512,2.0,07-0929
10513,23.0,07-0931
10514,13.0,07-0932
10515,30.0,07-0933
10516,33.0,07-0934
10517,-1.0,07-0935
10518,5.0,07-0936
10519,4.0,07-0937
10520,-1.0,07-0938
10521,2.0,07-0939
10522,-1.0,07-0941
10523,57.0,07-0942
10524,1.0,07-0944
10525,-1.0,07-0945
10526,-1.0,07-0946
10527,3.0,07-0947
10528,0.0,07-0948
10529,19.0,07-0949
10530,2.0,07-0951
10531,-1.0,07-0952
10532,1.0,07-0955
10533,-1.0,07-0956
10534,12.0,07-0957
10535,26.0,07-0958
10536,4.0,07-0959
10537,-1.0,07-0961
10538,29.0,07-0962
10539,2.0,07-0963
10540,3.0,07-0964
10541,62.0,07-0965
10542,56.0,07-0966
10543,10.0,07-0967
10544,-1.0,07-0968
10545,0.0,07-0969
10546,-1.0,07-0971
10547,-1.0,07-0972
10548,16.0,07-0973
10549,14.0,07-0975
10550,2.0,07-0976
10551,0.0,07-0977
10552,2.0,07-0978
10553,40.0,07-0979
10554,-1.0,07-0981
10555,0.0,07-0982
10556,2.0,07-0983
10557,48.0,07-0984
10558,-1.0,07-0985
10559,-1.0,07-0986
10560,8.0,07-0987
10561,-1.0,07-0988
10562,-1.0,07-0991
10563,36.0,07-0992
10564,-1.0,07-0994
10565,47.0,07-0995
10566,25.0,07-0996
10567,-1.0,07-0997
10568,-1.0,07-0998
10569,-1.0,07-0999
10570,4.0,07-1001
10571,75.0,07-1002
10572,2.0,07-1003
10573,4.0,07-1004
10574,4.0,07-1005
10575,8.0,07-1006
10576,-1.0,07-1007
10577,-1.0,07-1008
10578,-1.0,07-1009
10579,-1.0,07-1011
10580,-1.0,07-1012
10581,-1.0,07-1013
10582,-1.0,07-1014
10583,4.0,07-1015
10584,8.0,07-1016
10585,8.0,07-1017
10586,-1.0,07-1018
10587,0.0,07-1019
10588,-1.0,07-1021
10589,-1.0,07-1022
10590,0.0,07-1024
10591,-1.0,07-1025
10592,-1.0,07-1026
10593,14.0,07-1027
10594,53.0,07-1028
10595,22.0,07-1029
10596,-1.0,07-1031
10597,0.0,07-1033
10598,-1.0,07-1034
10599,-1.0,07-1035
10600,40.0,07-1036
10601,18.0,07-1037
10602,0.0,07-1038
10603,4.0,07-1041
10604,0.0,07-1043
10605,-1.0,07-1044
10606,-1.0,07-1045
10607,21.0,07-1047
10608,41.0,07-1048
10609,-1.0,07-1051
10610,-1.0,07-1052
10611,-1.0,07-1053
10612,36.0,07-1055
10613,1.0,07-1057
10614,16.0,07-1058
10615,-1.0,07-1059
10616,5.0,07-1061
10617,36.0,07-1062
10618,-1.0,07-1063
10619,15.0,07-1064
10620,0.0,07-1065
10621,66.0,07-1066
10622,6.0,07-1067
10623,62.0,07-1069
10624,0.0,07-1071
10625,-1.0,07-1072
10626,21.0,07-1073
10627,6.0,07-1074
10628,2.0,07-1075
10629,-1.0,07-1076
10630,0.0,07-1077
10631,23.0,07-1078
10632,1.0,07-1079
10633,-1.0,07-1082
10634,2.0,07-1083
10635,0.0,07-1084
10636,-1.0,07-1085
10637,-1.0,07-1086
10638,-1.0,07-1087
10639,7.0,07-1092
10640,0.0,07-1093
10641,7.0,07-1094
10642,-1.0,07-1095
10643,-1.0,07-1096
10644,97.0,07-1097
10645,-1.0,07-1099
10646,-1.0,07-1101
10647,-1.0,07-1102
10648,-1.0,07-1103
10649,-1.0,07-1104
10650,-1.0,07-1107
10651,8.0,07-1108
10652,13.0,07-1109
10653,21.0,07-1111
10654,13.0,07-1113
10655,-1.0,07-1114
10656,0.0,07-1115
10657,38.0,07-1118
10658,8.0,08-0001
10659,1.0,08-0003
10660,3.0,08-0004
10661,19.0,08-0006
10662,-1.0,08-0007
10663,-1.0,08-0013
10664,-1.0,08-0015
10665,-1.0,08-0018
10666,11.0,08-0019
10667,0.0,08-0021
10668,-1.0,08-0022
10669,-1.0,08-0023
10670,-1.0,08-0024
10671,-1.0,08-0025
10672,-1.0,08-0026
10673,-1.0,08-0027
10674,0.0,08-0028
10675,25.0,08-0029
10676,11.0,08-0031
10677,25.0,08-0033
10678,-1.0,08-0034
10679,-1.0,08-0035
10680,25.0,08-0037
10681,4.0,08-0038
10682,25.0,08-0039
10683,25.0,08-0041
10684,-1.0,08-0042
10685,-1.0,08-0043
10686,90.0,08-0044
10687,-1.0,08-0045
10688,-1.0,08-0046
10689,42.0,08-0047
10690,55.0,08-0049
10691,-1.0,08-0051
10692,25.0,08-0052
10693,-1.0,08-0053
10694,-1.0,08-0056
10695,-1.0,08-0057
10696,19.0,08-0058
10697,15.0,08-0059
10698,13.0,08-0061
10699,0.0,08-0062
10700,-1.0,08-0064
10701,8.0,08-0065
10702,19.0,08-0066
10703,-1.0,08-0069
10704,12.0,08-0072
10705,-1.0,08-0074
10706,3.0,08-0077
10707,40.0,08-0079
10708,-1.0,08-0082
10709,3.0,08-0083
10710,-1.0,08-0084
10711,11.0,08-0085
10712,25.0,08-0086
10713,-1.0,08-0087
10714,8.0,08-0088
10715,-1.0,08-0089
10716,25.0,08-0091
10717,3.0,08-0092
10718,9.0,08-0093
10719,2.0,08-0094
10720,-1.0,08-0095
10721,-1.0,08-0096
10722,1.0,08-0097
10723,-1.0,08-0099
10724,-1.0,08-0101
10725,13.0,08-0102
10726,-1.0,08-0103
10727,8.0,08-0104
10728,-1.0,08-0105
10729,2.0,08-0106
10730,-1.0,08-0107
10731,-1.0,08-0109
10732,-1.0,08-0111
10733,25.0,08-0112
10734,7.0,08-0113
10735,-1.0,08-0114
10736,40.0,08-0115
10737,-1.0,08-0116
10738,6.0,08-0117
10739,-1.0,08-0118
10740,1.0,08-0119
10741,-1.0,08-0121
10742,-1.0,08-0122
10743,51.0,08-0123
10744,21.0,08-0124
10745,-1.0,08-0125
10746,29.0,08-0127
10747,9.0,08-0131
10748,5.0,08-0134
10749,-1.0,08-0135
10750,-1.0,08-0136
10751,2.0,08-0137
10752,-1.0,08-0138
10753,-1.0,08-0139
10754,48.0,08-0141
10755,16.0,08-0142
10756,-1.0,08-0143
10757,-1.0,08-0144
10758,19.0,08-0145
10759,30.0,08-0146
10760,72.0,08-0148
10761,12.0,08-0149
10762,-1.0,08-0151
10763,9.0,08-0152
10764,31.0,08-0153
10765,1.0,08-0154
10766,13.0,08-0156
10767,0.0,08-0158
10768,12.0,08-0159
10769,66.0,08-0161
10770,-1.0,08-0162
10771,51.0,08-0163
10772,-1.0,08-0164
10773,0.0,08-0165
10774,21.0,08-0166
10775,-1.0,08-0167
10776,3.0,08-0168
10777,4.0,08-0169
10778,90.0,08-0171
10779,2.0,08-0172
10780,-1.0,08-0173
10781,9.0,08-0174
10782,-1.0,08-0175
10783,-1.0,08-0176
10784,22.0,08-0177
10785,2.0,08-0178
10786,-1.0,08-0179
10787,35.0,08-0181
10788,7.0,08-0182
10789,-1.0,08-0183
10790,16.0,08-0184
10791,-1.0,08-0185
10792,-1.0,08-0186
10793,0.0,08-0188
10794,1.0,08-0189
10795,1.0,08-0191
10796,14.0,08-0192
10797,18.0,08-0193
10798,0.0,08-0194
10799,-1.0,08-0195
10800,1.0,08-0196
10801,14.0,08-0197
10802,-1.0,08-0201
10803,-1.0,08-0202
10804,-1.0,08-0204
10805,40.0,08-0207
10806,-1.0,08-0208
10807,-1.0,08-0209
10808,10.0,08-0211
10809,51.0,08-0212
10810,-1.0,08-0214
10811,57.0,08-0215
10812,0.0,08-0216
10813,2.0,08-0217
10814,-1.0,08-0218
10815,38.0,08-0219
10816,32.0,08-0221
10817,27.0,08-0222
10818,37.0,08-0223
10819,1.0,08-0224
10820,78.0,08-0226
10821,35.0,08-0227
10822,98.0,08-0228
10823,-1.0,08-0229
10824,-1.0,08-0231
10825,-1.0,08-0232
10826,-1.0,08-0233
10827,-1.0,08-0234
10828,-1.0,08-0235
10829,-1.0,08-0236
10830,13.0,08-0237
10831,23.0,08-0238
10832,-1.0,08-0239
10833,18.0,08-0241
10834,-1.0,08-0243
10835,39.0,08-0244
10836,-1.0,08-0245
10837,2.0,08-0246
10838,40.0,08-0247
10839,51.0,08-0248
10840,35.0,08-0249
10841,54.0,08-0251
10842,91.0,08-0252
10843,-1.0,08-0253
10844,51.0,08-0254
10845,2.0,08-0256
10846,-1.0,08-0257
10847,-1.0,08-0258
10848,9.0,08-0259
10849,17.0,08-0261
10850,2.0,08-0262
10851,41.0,08-0263
10852,-1.0,08-0264
10853,-1.0,08-0265
10854,2.0,08-0266
10855,0.0,08-0269
10856,-1.0,08-0272
10857,-1.0,08-0273
10858,5.0,08-0274
10859,9.0,08-0275
10860,-1.0,08-0276
10861,-1.0,08-0277
10862,-1.0,08-0278
10863,31.0,08-0279
10864,-1.0,08-0281
10865,2.0,08-0282
10866,0.0,08-0283
10867,-1.0,08-0284
10868,71.0,08-0285
10869,37.0,08-0286
10870,-1.0,08-0287
10871,-1.0,08-0288
10872,-1.0,08-0289
10873,-1.0,08-0291
10874,6.0,08-0292
10875,-1.0,08-0293
10876,-1.0,08-0294
10877,-1.0,08-0295
10878,-1.0,08-0296
10879,-1.0,08-0297
10880,-1.0,08-0298
10881,-1.0,08-0299
10882,6.0,08-0301
10883,22.0,08-0302
10884,64.0,08-0303
10885,31.0,08-0304
10886,0.0,08-0305
10887,-1.0,08-0306
10888,-1.0,08-0307
10889,29.0,08-0308
10890,-1.0,08-0309
10891,11.0,08-0311
10892,-1.0,08-0312
10893,-1.0,08-0313
10894,10.0,08-0314
10895,10.0,08-0316
10896,0.0,08-0317
10897,-1.0,08-0318
10898,-1.0,08-0319
10899,27.0,08-0321
10900,13.0,08-0322
10901,-1.0,08-0323
10902,13.0,08-0324
10903,42.0,08-0325
10904,98.0,08-0326
10905,45.0,08-0327
10906,8.0,08-0328
10907,0.0,08-0331
10908,33.0,08-0332
10909,2.0,08-0333
10910,14.0,08-0334
10911,-1.0,08-0335
10912,-1.0,08-0336
10913,-1.0,08-0337
10914,0.0,08-0338
10915,-1.0,08-0339
10916,1.0,08-0341
10917,0.0,08-0342
10918,1.0,08-0343
10919,9.0,08-0344
10920,46.0,08-0347
10921,-1.0,08-0348
10922,0.0,08-0349
10923,-1.0,08-0351
10924,84.0,08-0352
10925,-1.0,08-0354
10926,-1.0,08-0355
10927,1.0,08-0356
10928,-1.0,08-0357
10929,-1.0,08-0359
10930,-1.0,08-0361
10931,9.0,08-0362
10932,0.0,08-0363
10933,-1.0,08-0364
10934,13.0,08-0365
10935,-1.0,08-0366
10936,-1.0,08-0367
10937,-1.0,08-0368
10938,8.0,08-0369
10939,9.0,08-0371
10940,0.0,08-0372
10941,1.0,08-0373
10942,9.0,08-0374
10943,16.0,08-0375
10944,7.0,08-0376
10945,2.0,08-0377
10946,-1.0,08-0378
10947,9.0,08-0381
10948,-1.0,08-0382
10949,45.0,08-0383
10950,27.0,08-0384
10951,22.0,08-0385
10952,4.0,08-0386
10953,-1.0,08-0388
10954,-1.0,08-0389
10955,10.0,08-0391
10956,-1.0,08-0393
10957,2.0,08-0395
10958,75.0,08-0396
10959,-1.0,08-0397
10960,1.0,08-0398
10961,47.0,08-0399
10962,10.0,08-0401
10963,0.0,08-0402
10964,12.0,08-0403
10965,7.0,08-0404
10966,21.0,08-0406
10967,24.0,08-0407
10968,-1.0,08-0408
10969,-1.0,08-0411
10970,4.0,08-0412
10971,55.0,08-0413
10972,-1.0,08-0414
10973,-1.0,08-0415
10974,88.0,08-0416
10975,4.0,08-0417
10976,27.0,08-0418
10977,-1.0,08-0421
10978,2.0,08-0423
10979,9.0,08-0424
10980,-1.0,08-0425
10981,-1.0,08-0427
10982,34.0,08-0428
10983,-1.0,08-0429
10984,6.0,08-0431
10985,13.0,08-0432
10986,27.0,08-0433
10987,-1.0,08-0434
10988,32.0,08-0435
10989,77.0,08-0436
10990,-1.0,08-0437
10991,2.0,08-0438
10992,72.0,08-0441
10993,-1.0,08-0442
10994,-1.0,08-0443
10995,0.0,08-0444
10996,72.0,08-0445
10997,0.0,08-0446
10998,-1.0,08-0447
10999,6.0,08-0448
11000,-1.0,08-0449
11001,33.0,08-0451
11002,-1.0,08-0452
11003,3.0,08-0453
11004,19.0,08-0454
11005,-1.0,08-0455
11006,23.0,08-0456
11007,1.0,08-0457
11008,89.0,08-0458
11009,0.0,08-0459
11010,-1.0,08-0461
11011,-1.0,08-0462
11012,-1.0,08-0463
11013,54.0,08-0464
11014,19.0,08-0466
11015,2.0,08-0467
11016,-1.0,08-0469
11017,-1.0,08-0471
11018,0.0,08-0472
11019,43.0,08-0473
11020,-1.0,08-0474
11021,-1.0,08-0475
11022,40.0,08-0476
11023,-1.0,08-0477
11024,-1.0,08-0478
11025,7.0,08-0479
11026,-1.0,08-0484
11027,15.0,08-0486
11028,3.0,08-0487
11029,39.0,08-0488
11030,-1.0,08-0489
11031,46.0,08-0491
11032,14.0,08-0492
11033,97.0,08-0493
11034,-1.0,08-0494
11035,-1.0,08-0495
11036,16.0,08-0496
11037,8.0,08-0497
11038,-1.0,08-0498
11039,3.0,08-0499
11040,2.0,08-0501
11041,-1.0,08-0502
11042,8.0,08-0504
11043,22.0,08-0505
11044,-1.0,08-0506
11045,0.0,08-0507
11046,34.0,08-0508
11047,-1.0,08-0509
11048,38.0,08-0511
11049,-1.0,08-0512
11050,-1.0,08-0513
11051,51.0,08-0514
11052,-1.0,08-0516
11053,-1.0,08-0517
11054,0.0,08-0518
11055,2.0,08-0519
11056,0.0,08-0522
11057,79.0,08-0523
11058,-1.0,08-0524
11059,-1.0,08-0525
11060,5.0,08-0526
11061,9.0,08-0527
11062,48.0,08-0528
11063,45.0,08-0529
11064,77.0,08-0531
11065,-1.0,08-0532
11066,-1.0,08-0533
11067,13.0,08-0534
11068,6.0,08-0535
11069,16.0,08-0536
11070,41.0,08-0537
11071,1.0,08-0538
11072,45.0,08-0539
11073,-1.0,08-0541
11074,71.0,08-0542
11075,0.0,08-0543
11076,1.0,08-0544
11077,29.0,08-0545
11078,-1.0,08-0546
11079,-1.0,08-0547
11080,2.0,08-0548
11081,10.0,08-0549
11082,3.0,08-0551
11083,41.0,08-0552
11084,1.0,08-0554
11085,0.0,08-0555
11086,-1.0,08-0556
11087,10.0,08-0557
11088,40.0,08-0558
11089,0.0,08-0559
11090,-1.0,08-0561
11091,0.0,08-0562
11092,12.0,08-0563
11093,-1.0,08-0564
11094,0.0,08-0565
11095,-1.0,08-0566
11096,2.0,08-0567
11097,0.0,08-0568
11098,15.0,08-0569
11099,27.0,08-0571
11100,-1.0,08-0572
11101,-1.0,08-0573
11102,6.0,08-0574
11103,-1.0,08-0575
11104,-1.0,08-0576
11105,-1.0,08-0577
11106,52.0,08-0578
11107,1.0,08-0581
11108,6.0,08-0582
11109,-1.0,08-0583
11110,7.0,08-0584
11111,1.0,08-0585
11112,2.0,08-0586
11113,-1.0,08-0587
11114,70.0,08-0588
11115,-1.0,08-0589
11116,2.0,08-0591
11117,30.0,08-0592
11118,76.0,08-0594
11119,-1.0,08-0595
11120,-1.0,08-0596
11121,2.0,08-0598
11122,-1.0,08-0601
11123,-1.0,08-0602
11124,-1.0,08-0603
11125,6.0,08-0604
11126,72.0,08-0605
11127,-1.0,08-0606
11128,1.0,08-0607
11129,-1.0,08-0608
11130,35.0,08-0609
11131,16.0,08-0611
11132,-1.0,08-0612
11133,3.0,08-0613
11134,2.0,08-0614
11135,36.0,08-0615
11136,16.0,08-0616
11137,-1.0,08-0617
11138,23.0,08-0618
11139,2.0,08-0619
11140,87.0,08-0621
11141,16.0,08-0622
11142,1.0,08-0623
11143,-1.0,08-0624
11144,9.0,08-0625
11145,-1.0,08-0626
11146,42.0,08-0627
11147,42.0,08-0629
11148,42.0,08-0631
11149,42.0,08-0632
11150,-1.0,08-0633
11151,46.0,08-0634
11152,-1.0,08-0635
11153,-1.0,08-0636
11154,0.0,08-0637
11155,2.0,08-0638
11156,-1.0,08-0639
11157,-1.0,08-0641
11158,24.0,08-0642
11159,0.0,08-0643
11160,90.0,08-0644
11161,11.0,08-0645
11162,61.0,08-0646
11163,2.0,08-0648
11164,-1.0,08-0652
11165,-1.0,08-0653
11166,42.0,08-0654
11167,42.0,08-0655
11168,-1.0,08-0656
11169,-1.0,08-0657
11170,35.0,08-0658
11171,-1.0,08-0659
11172,14.0,08-0661
11173,70.0,08-0662
11174,-1.0,08-0663
11175,66.0,08-0664
11176,-1.0,08-0666
11177,79.0,08-0667
11178,45.0,08-0668
11179,4.0,08-0669
11180,28.0,08-0672
11181,7.0,08-0673
11182,-1.0,08-0674
11183,3.0,08-0676
11184,32.0,08-0677
11185,11.0,08-0678
11186,1.0,08-0679
11187,-1.0,08-0681
11188,32.0,08-0682
11189,1.0,08-0683
11190,0.0,08-0684
11191,30.0,08-0685
11192,12.0,08-0687
11193,-1.0,08-0688
11194,11.0,08-0689
11195,1.0,08-0691
11196,9.0,08-0692
11197,17.0,08-0693
11198,-1.0,08-0694
11199,-1.0,08-0695
11200,-1.0,08-0696
11201,-1.0,08-0697
11202,40.0,08-0698
11203,0.0,08-0699
11204,1.0,08-0701
11205,10.0,08-0702
11206,-1.0,08-0703
11207,30.0,08-0705
11208,2.0,08-0706
11209,30.0,08-0707
11210,-1.0,08-0708
11211,-1.0,08-0711
11212,47.0,08-0712
11213,6.0,08-0713
11214,3.0,08-0714
11215,34.0,08-0715
11216,32.0,08-0716
11217,91.0,08-0717
11218,34.0,08-0718
11219,-1.0,08-0721
11220,-1.0,08-0722
11221,7.0,08-0723
11222,0.0,08-0724
11223,0.0,08-0725
11224,6.0,08-0726
11225,3.0,08-0727
11226,-1.0,08-0728
11227,32.0,08-0731
11228,-1.0,08-0732
11229,18.0,08-0734
11230,4.0,08-0735
11231,45.0,08-0736
11232,-1.0,08-0738
11233,34.0,08-0741
11234,8.0,08-0742
11235,69.0,08-0743
11236,8.0,08-0744
11237,-1.0,08-0746
11238,-1.0,08-0747
11239,25.0,08-0748
11240,-1.0,08-0749
11241,18.0,08-0752
11242,-1.0,08-0753
11243,37.0,08-0755
11244,63.0,08-0756
11245,3.0,08-0757
11246,12.0,08-0758
11247,46.0,08-0759
11248,7.0,08-0761
11249,-1.0,08-0762
11250,-1.0,08-0763
11251,-1.0,08-0764
11252,-1.0,08-0765
11253,9.0,08-0766
11254,3.0,08-0768
11255,2.0,08-0769
11256,18.0,08-0771
11257,-1.0,08-0772
11258,-1.0,08-0773
11259,8.0,08-0774
11260,57.0,08-0775
11261,23.0,08-0776
11262,44.0,08-0777
11263,11.0,08-0778
11264,-1.0,08-0779
11265,0.0,08-0781
11266,24.0,08-0782
11267,31.0,08-0783
11268,5.0,08-0785
11269,-1.0,08-0786
11270,3.0,08-0787
11271,24.0,08-0788
11272,1.0,08-0789
11273,87.0,08-0791
11274,-1.0,08-0792
11275,11.0,08-0793
11276,26.0,08-0794
11277,22.0,08-0795
11278,11.0,08-0796
11279,-1.0,08-0797
11280,-1.0,08-0798
11281,-1.0,08-0799
11282,-1.0,08-0801
11283,-1.0,08-0802
11284,10.0,08-0803
11285,5.0,08-0804
11286,-1.0,08-0805
11287,26.0,08-0806
11288,-1.0,08-0807
11289,-1.0,08-0808
11290,21.0,08-0809
11291,-1.0,08-0811
11292,-1.0,08-0812
11293,13.0,08-0813
11294,-1.0,08-0814
11295,53.0,08-0815
11296,-1.0,08-0817
11297,26.0,08-0818
11298,-1.0,08-0819
11299,-1.0,08-0821
11300,32.0,08-0822
11301,4.0,08-0823
11302,39.0,08-0824
11303,0.0,08-0825
11304,-1.0,08-0826
11305,-1.0,08-0828
11306,78.0,08-0829
11307,-1.0,08-0831
11308,-1.0,08-0832
11309,16.0,08-0833
11310,39.0,08-0834
11311,-1.0,08-0835
11312,-1.0,08-0836
11313,1.0,08-0837
11314,17.0,08-0838
11315,67.0,08-0839
11316,-1.0,08-0842
11317,-1.0,08-0843
11318,0.0,08-0844
11319,14.0,08-0845
11320,31.0,08-0846
11321,-1.0,08-0847
11322,56.0,08-0849
11323,66.0,08-0852
11324,4.0,08-0853
11325,-1.0,08-0854
11326,86.0,08-0855
11327,19.0,08-0856
11328,-1.0,08-0857
11329,0.0,08-0858
11330,-1.0,08-0859
11331,10.0,08-0861
11332,-1.0,08-0862
11333,-1.0,08-0863
11334,0.0,08-0864
11335,2.0,08-0865
11336,6.0,08-0866
11337,-1.0,08-0868
11338,-1.0,08-0869
11339,0.0,08-0871
11340,-1.0,08-0872
11341,3.0,08-0873
11342,0.0,08-0874
11343,14.0,08-0875
11344,-1.0,08-0876
11345,-1.0,08-0878
11346,0.0,08-0879
11347,-1.0,08-0881
11348,38.0,08-0882
11349,0.0,08-0883
11350,0.0,08-0884
11351,-1.0,08-0885
11352,-1.0,08-0886
11353,73.0,08-0888
11354,-1.0,08-0889
11355,0.0,08-0891
11356,0.0,08-0892
11357,-1.0,08-0893
11358,10.0,08-0894
11359,20.0,08-0897
11360,6.0,08-0898
11361,91.0,08-0899
11362,24.0,08-0901
11363,-1.0,08-0902
11364,-1.0,08-0903
11365,29.0,08-0904
11366,-1.0,08-0905
11367,9.0,08-0906
11368,3.0,08-0907
11369,15.0,08-0909
11370,0.0,08-0911
11371,-1.0,08-0912
11372,10.0,08-0913
11373,-1.0,08-0914
11374,9.0,08-0915
11375,-1.0,08-0916
11376,-1.0,08-0918
11377,10.0,08-0919
11378,-1.0,08-0922
11379,16.0,08-0923
11380,35.0,08-0924
11381,33.0,08-0925
11382,0.0,08-0926
11383,-1.0,08-0927
11384,-1.0,08-0928
11385,1.0,08-0931
11386,-1.0,08-0932
11387,-1.0,08-0933
11388,-1.0,08-0934
