,Narrative,document number
665,73.0,98-0092
666,0.0,98-0093
667,6.0,98-0094
668,0.0,98-0095
669,3.0,98-0096
670,-1.0,98-0097
671,-1.0,98-0098
672,-1.0,98-0099
673,-1.0,98-0101
674,83.0,98-0102
675,-1.0,98-0103
676,0.0,98-0104
677,22.0,98-0105
678,4.0,98-0106
679,-1.0,98-0107
680,-1.0,98-0108
681,-1.0,98-0109
682,-1.0,98-0111
683,0.0,98-0112
684,-1.0,98-0113
685,0.0,98-0114
686,29.0,98-0115
687,0.0,98-0116
688,-1.0,98-0117
689,12.0,98-0118
690,14.0,98-0119
691,10.0,98-0121
692,3.0,98-0122
693,-1.0,98-0123
694,-1.0,98-0124
695,0.0,98-0125
696,-1.0,98-0126
697,-1.0,98-0127
698,-1.0,98-0128
699,0.0,98-0129
700,-1.0,98-0131
701,0.0,98-0132
702,37.0,98-0133
703,9.0,98-0134
704,0.0,98-0135
705,-1.0,98-0136
706,0.0,98-0137
707,-1.0,98-0138
708,-1.0,98-0139
709,0.0,98-0141
710,-1.0,98-0142
711,25.0,98-0143
712,25.0,98-0144
713,-1.0,98-0145
714,38.0,98-0146
715,1.0,98-0147
716,3.0,98-0148
717,6.0,98-0149
718,33.0,98-0151
719,-1.0,98-0152
720,-1.0,98-0153
721,-1.0,98-0154
722,-1.0,98-0155
723,1.0,98-0156
724,-1.0,98-0157
725,-1.0,98-0158
726,-1.0,98-0159
727,4.0,98-0161
728,25.0,98-0162
729,25.0,98-0163
730,-1.0,98-0164
731,1.0,98-0165
732,-1.0,98-0166
733,-1.0,98-0167
734,29.0,98-0168
735,-1.0,98-0169
736,-1.0,98-0171
737,73.0,98-0172
738,0.0,98-0173
739,50.0,98-0174
740,36.0,98-0175
741,-1.0,98-0176
742,37.0,98-0177
743,62.0,98-0178
744,-1.0,98-0179
745,-1.0,98-0181
746,20.0,98-0182
747,-1.0,98-0183
748,-1.0,98-0184
749,0.0,98-0185
750,-1.0,98-0186
751,7.0,98-0187
752,20.0,98-0188
753,-1.0,98-0189
754,15.0,98-0191
755,5.0,98-0192
756,1.0,98-0193
757,25.0,98-0194
758,58.0,98-0195
759,9.0,98-0196
760,-1.0,98-0197
761,36.0,98-0198
762,-1.0,98-0199
763,51.0,98-0201
764,-1.0,98-0202
765,30.0,98-0203
766,-1.0,98-0204
767,-1.0,98-0205
768,12.0,98-0206
769,-1.0,98-0207
770,3.0,98-0208
771,54.0,98-0209
772,67.0,98-0211
773,-1.0,98-0212
774,-1.0,98-0213
775,1.0,98-0214
776,-1.0,98-0215
777,40.0,98-0216
778,-1.0,98-0217
779,11.0,98-0218
780,15.0,98-0219
781,-1.0,98-0221
782,40.0,98-0222
783,-1.0,98-0223
784,0.0,98-0224
785,-1.0,98-0225
786,-1.0,98-0226
787,-1.0,98-0227
788,81.0,98-0228
789,-1.0,98-0229
790,-1.0,98-0231
791,-1.0,98-0232
792,61.0,98-0233
793,6.0,98-0234
794,-1.0,98-0235
795,5.0,98-0236
796,2.0,98-0237
797,20.0,98-0238
798,-1.0,98-0239
799,20.0,98-0241
800,-1.0,98-0242
801,24.0,98-0243
802,-1.0,98-0244
803,22.0,98-0245
804,-1.0,98-0246
805,23.0,98-0247
806,-1.0,98-0248
807,33.0,98-0249
808,-1.0,98-0251
809,-1.0,98-0252
810,-1.0,98-0253
811,82.0,98-0254
812,1.0,98-0255
813,0.0,98-0256
814,3.0,98-0257
815,-1.0,98-0258
816,52.0,98-0259
817,3.0,98-0261
818,25.0,98-0262
819,-1.0,98-0263
820,87.0,98-0264
821,30.0,98-0265
822,-1.0,98-0266
823,15.0,98-0267
824,61.0,98-0268
825,26.0,98-0269
826,-1.0,98-0271
827,-1.0,98-0272
828,61.0,98-0273
829,61.0,98-0274
830,20.0,98-0275
831,-1.0,98-0276
832,-1.0,98-0277
833,0.0,98-0278
834,-1.0,98-0279
835,-1.0,98-0281
836,40.0,98-0282
837,0.0,98-0283
838,-1.0,98-0284
839,7.0,98-0285
840,9.0,98-0286
841,-1.0,98-0287
842,-1.0,98-0288
843,-1.0,98-0289
844,15.0,98-0291
845,87.0,98-0292
846,50.0,98-0293
847,90.0,98-0294
848,-1.0,98-0295
849,-1.0,98-0296
850,-1.0,98-0297
851,-1.0,98-0298
852,13.0,98-0299
853,10.0,98-0301
854,62.0,98-0302
855,-1.0,98-0303
856,-1.0,98-0304
857,-1.0,98-0305
858,-1.0,98-0306
859,-1.0,98-0307
860,92.0,98-0308
861,-1.0,98-0309
862,-1.0,98-0311
863,-1.0,98-0312
864,27.0,98-0313
865,-1.0,98-0314
866,-1.0,98-0315
867,10.0,98-0316
868,6.0,98-0317
869,18.0,98-0318
870,-1.0,98-0319
871,8.0,98-0321
872,-1.0,98-0322
873,-1.0,98-0323
874,13.0,98-0324
875,9.0,98-0325
876,-1.0,98-0326
877,1.0,98-0327
878,-1.0,98-0328
879,-1.0,98-0329
880,0.0,98-0331
881,1.0,98-0332
882,16.0,98-0333
883,1.0,98-0334
884,-1.0,98-0335
885,1.0,98-0336
886,3.0,98-0337
887,-1.0,98-0338
888,48.0,98-0339
889,-1.0,98-0341
890,80.0,98-0342
891,-1.0,98-0343
892,-1.0,98-0344
893,-1.0,98-0345
894,-1.0,98-0346
895,-1.0,98-0347
896,-1.0,98-0348
897,-1.0,98-0349
898,-1.0,98-0351
899,34.0,98-0352
900,80.0,98-0353
901,11.0,98-0354
902,50.0,98-0355
903,-1.0,98-0356
904,7.0,98-0357
905,-1.0,98-0358
906,25.0,98-0361
907,-1.0,98-0362
908,27.0,98-0363
909,27.0,98-0364
910,10.0,98-0366
911,34.0,98-0367
912,50.0,98-0368
913,25.0,98-0369
914,-1.0,98-0371
915,25.0,98-0372
916,6.0,98-0373
917,-1.0,98-0374
918,0.0,98-0375
919,34.0,98-0376
920,12.0,98-0377
921,75.0,98-0378
922,17.0,98-0379
923,-1.0,98-0381
924,54.0,98-0382
925,-1.0,98-0383
926,5.0,98-0384
927,-1.0,98-0385
928,0.0,98-0386
929,-1.0,98-0387
930,51.0,98-0388
931,77.0,98-0389
932,-1.0,98-0391
933,5.0,98-0392
934,30.0,98-0393
935,99.0,98-0394
936,34.0,98-0395
937,2.0,98-0396
938,26.0,98-0397
939,14.0,98-0398
940,-1.0,98-0399
941,-1.0,98-0401
942,-1.0,98-0402
943,7.0,98-0403
944,25.0,98-0404
945,-1.0,98-0405
946,-1.0,98-0406
947,0.0,98-0407
948,-1.0,98-0408
949,51.0,98-0409
950,51.0,98-0411
951,-1.0,98-0412
952,7.0,98-0413
953,40.0,98-0414
954,-1.0,98-0415
955,-1.0,98-0416
956,33.0,98-0417
957,16.0,98-0418
958,6.0,98-0421
959,79.0,98-0422
960,43.0,98-0423
961,15.0,98-0424
962,17.0,98-0425
963,23.0,98-0427
964,0.0,98-0428
965,5.0,98-0429
966,0.0,98-0431
967,-1.0,98-0432
968,18.0,98-0433
969,-1.0,98-0434
970,-1.0,98-0435
971,-1.0,98-0436
972,-1.0,98-0437
973,-1.0,98-0438
974,-1.0,98-0439
975,-1.0,98-0441
976,22.0,98-0442
977,62.0,98-0443
978,12.0,98-0444
979,-1.0,98-0445
980,-1.0,98-0446
