,COMPLEX_NAME,CPLX_INCIDENT_ID,INCIDENT_NUMBER,INCIDENT_NUMBER_CORRECTED,INCIDENT_NAME,INCIDENT_NAME_CORRECTED,START_YEAR,INC_MGMT_NUM_SITREPS,FOD_LIST
132,BIG TURNAROUND COMPLEX,2007_GA-OKR-007021_BIG TURNAROUND COMPLEX,GA-GAS-97027E,GA-OKR-007021,NORTH FARGO,BIG TURNAROUND COMPLEX,2007,3,"['{""ID"" : 26084, ""MTBS_ID"" : ""GA3067208246020070425(BIG TURNAROUND COMPLEX)"", ""COORDS"" : (30.5, -82.36666667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 123014.0, ""DISC"" : 128, ""CONT"" : 171.0}', '{""ID"" : 26126, ""COORDS"" : (30.33111111, -82.29777778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.0, ""DISC"" : 159, ""CONT"" : 159.0}', '{""ID"" : 26511, ""COORDS"" : (30.37388889, -82.29722222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.5, ""DISC"" : 157, ""CONT"" : 157.0}', '{""ID"" : 384121, ""COORDS"" : (30.84861111, -82.25444444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 105, ""CONT"" : ""unknown""}', '{""ID"" : 384126, ""MTBS_ID"" : ""GA3111308242720070416(SWEAT FARM ROAD)"", ""COORDS"" : (31.165, -82.45777778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 68361.0, ""DISC"" : 106, ""CONT"" : 181.0}', '{""ID"" : 384128, ""MTBS_ID"" : ""GA3067208246020070425(BIG TURNAROUND COMPLEX)"", ""COORDS"" : (30.80277778, -82.2725), ""CAUSE"" : ""9(Miscellaneous)"", ""SIZE"" : 191474.0, ""DISC"" : 106, ""CONT"" : 283.0}', '{""ID"" : 384129, ""MTBS_ID"" : ""GA3067208246020070425(BIG TURNAROUND COMPLEX)"", ""COORDS"" : (30.73111111, -82.56277778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2485.0, ""DISC"" : 107, ""CONT"" : 135.0}', '{""ID"" : 384131, ""MTBS_ID"" : ""GA3094108231320070505(BIG TURNAROUND COMPLEX (FLOYDS ISLAND PRAIRIE))"", ""COORDS"" : (30.8775, -82.2925), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1954.0, ""DISC"" : 125, ""CONT"" : 166.0}', '{""ID"" : 384132, ""COORDS"" : (30.75694444, -82.27111111), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 82.0, ""DISC"" : 125, ""CONT"" : 130.0}']"
133,BIG TURNAROUND COMPLEX,2007_GA-OKR-007021_BIG TURNAROUND COMPLEX,GA-GAS-CLINCH39,GA-OKR-007021,NORTH FARGO,BIG TURNAROUND COMPLEX,2007,1,"['{""ID"" : 26084, ""MTBS_ID"" : ""GA3067208246020070425(BIG TURNAROUND COMPLEX)"", ""COORDS"" : (30.5, -82.36666667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 123014.0, ""DISC"" : 128, ""CONT"" : 171.0}', '{""ID"" : 26126, ""COORDS"" : (30.33111111, -82.29777778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.0, ""DISC"" : 159, ""CONT"" : 159.0}', '{""ID"" : 26511, ""COORDS"" : (30.37388889, -82.29722222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.5, ""DISC"" : 157, ""CONT"" : 157.0}', '{""ID"" : 384121, ""COORDS"" : (30.84861111, -82.25444444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 105, ""CONT"" : ""unknown""}', '{""ID"" : 384126, ""MTBS_ID"" : ""GA3111308242720070416(SWEAT FARM ROAD)"", ""COORDS"" : (31.165, -82.45777778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 68361.0, ""DISC"" : 106, ""CONT"" : 181.0}', '{""ID"" : 384128, ""MTBS_ID"" : ""GA3067208246020070425(BIG TURNAROUND COMPLEX)"", ""COORDS"" : (30.80277778, -82.2725), ""CAUSE"" : ""9(Miscellaneous)"", ""SIZE"" : 191474.0, ""DISC"" : 106, ""CONT"" : 283.0}', '{""ID"" : 384129, ""MTBS_ID"" : ""GA3067208246020070425(BIG TURNAROUND COMPLEX)"", ""COORDS"" : (30.73111111, -82.56277778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2485.0, ""DISC"" : 107, ""CONT"" : 135.0}', '{""ID"" : 384131, ""MTBS_ID"" : ""GA3094108231320070505(BIG TURNAROUND COMPLEX (FLOYDS ISLAND PRAIRIE))"", ""COORDS"" : (30.8775, -82.2925), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1954.0, ""DISC"" : 125, ""CONT"" : 166.0}', '{""ID"" : 384132, ""COORDS"" : (30.75694444, -82.27111111), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 82.0, ""DISC"" : 125, ""CONT"" : 130.0}']"
134,BIG TURNAROUND COMPLEX,2007_GA-OKR-007021_BIG TURNAROUND COMPLEX,GA-OKR-007021,GA-OKR-007021,BIG TURNAROUND,BIG TURNAROUND COMPLEX,2007,4,"['{""ID"" : 26084, ""MTBS_ID"" : ""GA3067208246020070425(BIG TURNAROUND COMPLEX)"", ""COORDS"" : (30.5, -82.36666667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 123014.0, ""DISC"" : 128, ""CONT"" : 171.0}', '{""ID"" : 26126, ""COORDS"" : (30.33111111, -82.29777778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.0, ""DISC"" : 159, ""CONT"" : 159.0}', '{""ID"" : 26511, ""COORDS"" : (30.37388889, -82.29722222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.5, ""DISC"" : 157, ""CONT"" : 157.0}', '{""ID"" : 384121, ""COORDS"" : (30.84861111, -82.25444444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 105, ""CONT"" : ""unknown""}', '{""ID"" : 384126, ""MTBS_ID"" : ""GA3111308242720070416(SWEAT FARM ROAD)"", ""COORDS"" : (31.165, -82.45777778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 68361.0, ""DISC"" : 106, ""CONT"" : 181.0}', '{""ID"" : 384128, ""MTBS_ID"" : ""GA3067208246020070425(BIG TURNAROUND COMPLEX)"", ""COORDS"" : (30.80277778, -82.2725), ""CAUSE"" : ""9(Miscellaneous)"", ""SIZE"" : 191474.0, ""DISC"" : 106, ""CONT"" : 283.0}', '{""ID"" : 384129, ""MTBS_ID"" : ""GA3067208246020070425(BIG TURNAROUND COMPLEX)"", ""COORDS"" : (30.73111111, -82.56277778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2485.0, ""DISC"" : 107, ""CONT"" : 135.0}', '{""ID"" : 384131, ""MTBS_ID"" : ""GA3094108231320070505(BIG TURNAROUND COMPLEX (FLOYDS ISLAND PRAIRIE))"", ""COORDS"" : (30.8775, -82.2925), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1954.0, ""DISC"" : 125, ""CONT"" : 166.0}', '{""ID"" : 384132, ""COORDS"" : (30.75694444, -82.27111111), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 82.0, ""DISC"" : 125, ""CONT"" : 130.0}']"
135,BIG TURNAROUND COMPLEX,2007_GA-OKR-007021_BIG TURNAROUND COMPLEX,GA-OKR-007021,GA-OKR-007021,BIG TURNAROUND COMPLEX,BIG TURNAROUND COMPLEX,2007,67,"['{""ID"" : 26084, ""MTBS_ID"" : ""GA3067208246020070425(BIG TURNAROUND COMPLEX)"", ""COORDS"" : (30.5, -82.36666667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 123014.0, ""DISC"" : 128, ""CONT"" : 171.0}', '{""ID"" : 26126, ""COORDS"" : (30.33111111, -82.29777778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.0, ""DISC"" : 159, ""CONT"" : 159.0}', '{""ID"" : 26511, ""COORDS"" : (30.37388889, -82.29722222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.5, ""DISC"" : 157, ""CONT"" : 157.0}', '{""ID"" : 384121, ""COORDS"" : (30.84861111, -82.25444444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 105, ""CONT"" : ""unknown""}', '{""ID"" : 384126, ""MTBS_ID"" : ""GA3111308242720070416(SWEAT FARM ROAD)"", ""COORDS"" : (31.165, -82.45777778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 68361.0, ""DISC"" : 106, ""CONT"" : 181.0}', '{""ID"" : 384128, ""MTBS_ID"" : ""GA3067208246020070425(BIG TURNAROUND COMPLEX)"", ""COORDS"" : (30.80277778, -82.2725), ""CAUSE"" : ""9(Miscellaneous)"", ""SIZE"" : 191474.0, ""DISC"" : 106, ""CONT"" : 283.0}', '{""ID"" : 384129, ""MTBS_ID"" : ""GA3067208246020070425(BIG TURNAROUND COMPLEX)"", ""COORDS"" : (30.73111111, -82.56277778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2485.0, ""DISC"" : 107, ""CONT"" : 135.0}', '{""ID"" : 384131, ""MTBS_ID"" : ""GA3094108231320070505(BIG TURNAROUND COMPLEX (FLOYDS ISLAND PRAIRIE))"", ""COORDS"" : (30.8775, -82.2925), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1954.0, ""DISC"" : 125, ""CONT"" : 166.0}', '{""ID"" : 384132, ""COORDS"" : (30.75694444, -82.27111111), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 82.0, ""DISC"" : 125, ""CONT"" : 130.0}']"
136,BIG TURNAROUND COMPLEX,2007_GA-OKR-007021_BIG TURNAROUND COMPLEX,GA-OKR-007022,GA-OKR-007021,FLOYDS ISALND PRAIRIE,BIG TURNAROUND COMPLEX,2007,4,"['{""ID"" : 26084, ""MTBS_ID"" : ""GA3067208246020070425(BIG TURNAROUND COMPLEX)"", ""COORDS"" : (30.5, -82.36666667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 123014.0, ""DISC"" : 128, ""CONT"" : 171.0}', '{""ID"" : 26126, ""COORDS"" : (30.33111111, -82.29777778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.0, ""DISC"" : 159, ""CONT"" : 159.0}', '{""ID"" : 26511, ""COORDS"" : (30.37388889, -82.29722222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.5, ""DISC"" : 157, ""CONT"" : 157.0}', '{""ID"" : 384121, ""COORDS"" : (30.84861111, -82.25444444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 105, ""CONT"" : ""unknown""}', '{""ID"" : 384126, ""MTBS_ID"" : ""GA3111308242720070416(SWEAT FARM ROAD)"", ""COORDS"" : (31.165, -82.45777778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 68361.0, ""DISC"" : 106, ""CONT"" : 181.0}', '{""ID"" : 384128, ""MTBS_ID"" : ""GA3067208246020070425(BIG TURNAROUND COMPLEX)"", ""COORDS"" : (30.80277778, -82.2725), ""CAUSE"" : ""9(Miscellaneous)"", ""SIZE"" : 191474.0, ""DISC"" : 106, ""CONT"" : 283.0}', '{""ID"" : 384129, ""MTBS_ID"" : ""GA3067208246020070425(BIG TURNAROUND COMPLEX)"", ""COORDS"" : (30.73111111, -82.56277778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2485.0, ""DISC"" : 107, ""CONT"" : 135.0}', '{""ID"" : 384131, ""MTBS_ID"" : ""GA3094108231320070505(BIG TURNAROUND COMPLEX (FLOYDS ISLAND PRAIRIE))"", ""COORDS"" : (30.8775, -82.2925), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1954.0, ""DISC"" : 125, ""CONT"" : 166.0}', '{""ID"" : 384132, ""COORDS"" : (30.75694444, -82.27111111), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 82.0, ""DISC"" : 125, ""CONT"" : 130.0}']"
137,BIG TURNAROUND COMPLEX,2007_GA-OKR-007021_BIG TURNAROUND COMPLEX,GA-OKR-007024,GA-OKR-007021,BUGABOO SCRUB FIRE,BIG TURNAROUND COMPLEX,2007,14,"['{""ID"" : 26084, ""MTBS_ID"" : ""GA3067208246020070425(BIG TURNAROUND COMPLEX)"", ""COORDS"" : (30.5, -82.36666667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 123014.0, ""DISC"" : 128, ""CONT"" : 171.0}', '{""ID"" : 26126, ""COORDS"" : (30.33111111, -82.29777778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.0, ""DISC"" : 159, ""CONT"" : 159.0}', '{""ID"" : 26511, ""COORDS"" : (30.37388889, -82.29722222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.5, ""DISC"" : 157, ""CONT"" : 157.0}', '{""ID"" : 384121, ""COORDS"" : (30.84861111, -82.25444444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 105, ""CONT"" : ""unknown""}', '{""ID"" : 384126, ""MTBS_ID"" : ""GA3111308242720070416(SWEAT FARM ROAD)"", ""COORDS"" : (31.165, -82.45777778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 68361.0, ""DISC"" : 106, ""CONT"" : 181.0}', '{""ID"" : 384128, ""MTBS_ID"" : ""GA3067208246020070425(BIG TURNAROUND COMPLEX)"", ""COORDS"" : (30.80277778, -82.2725), ""CAUSE"" : ""9(Miscellaneous)"", ""SIZE"" : 191474.0, ""DISC"" : 106, ""CONT"" : 283.0}', '{""ID"" : 384129, ""MTBS_ID"" : ""GA3067208246020070425(BIG TURNAROUND COMPLEX)"", ""COORDS"" : (30.73111111, -82.56277778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2485.0, ""DISC"" : 107, ""CONT"" : 135.0}', '{""ID"" : 384131, ""MTBS_ID"" : ""GA3094108231320070505(BIG TURNAROUND COMPLEX (FLOYDS ISLAND PRAIRIE))"", ""COORDS"" : (30.8775, -82.2925), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1954.0, ""DISC"" : 125, ""CONT"" : 166.0}', '{""ID"" : 384132, ""COORDS"" : (30.75694444, -82.27111111), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 82.0, ""DISC"" : 125, ""CONT"" : 130.0}']"
138,BIG VALLEY COMPLEX,2003_CA-MDF-0516_BIG VALLEY COMPLEX,CA-MDF-0516,CA-MDF-0516,BIG VALLEY COMPLEX,BIG VALLEY COMPLEX,2003,2,
139,BIG WINDY COMPLEX,2013_OR-712S-133-14_BIG WINDY COMPLEX,OR-712S-133-14,OR-712S-133-14,BIG WINDY COMPLEX,BIG WINDY COMPLEX,2013,46,"['{""ID"" : 201777633, ""MTBS_ID"" : ""OR4261412376020130726(BIG WINDY COMPLEX)"", ""COORDS"" : (42.6137, -123.7615), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 26725.0, ""DISC"" : 207, ""CONT"" : ""unknown""}', '{""ID"" : 201777638, ""COORDS"" : (42.6715, -123.8067), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 5.0, ""DISC"" : 208, ""CONT"" : ""unknown""}']"
140,BILK CREEK COMPLEX,2000_NV-WID-X354_BILK CREEK COMPLEX,NV-WID-X354,NV-WID-X354,BILK CREEK COMPLEX,BILK CREEK COMPLEX,2000,4,"['{""ID"" : 345655, ""COORDS"" : (41.5705, -117.7954), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 100.0, ""DISC"" : 199, ""CONT"" : 202.0}', '{""ID"" : 345657, ""MTBS_ID"" : ""NV4162311827520000717(BILK CREEK COMPLEX (CHERRY CREEK))"", ""COORDS"" : (41.5705, -117.7954), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 23482.8, ""DISC"" : 199, ""CONT"" : 202.0}', '{""ID"" : 345659, ""COORDS"" : (41.5868, -117.9349), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 100.0, ""DISC"" : 199, ""CONT"" : 200.0}', '{""ID"" : 345661, ""MTBS_ID"" : ""NV4169611774620000717(BILK CREEK COMPLEX (WILLOW CREEK))"", ""COORDS"" : (41.6999, -117.751), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1175.9, ""DISC"" : 199, ""CONT"" : 201.0}', '{""ID"" : 345662, ""MTBS_ID"" : ""NV4158311803020000717(BILK CREEK COMPLEX (DOUBLE H))"", ""COORDS"" : (41.6493, -118.0507), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 70876.2, ""DISC"" : 199, ""CONT"" : 202.0}']"
141,BIRTHDAY COMPLEX,2006_AZ-ASD-060381_BIRTHDAY,AZ-ASD-060381,AZ-ASD-060381,BIRTHDAY,BIRTHDAY,2006,5,"['{""ID"" : 313531, ""MTBS_ID"" : ""AZ3640511377720060701(BIRTHDAY)"", ""COORDS"" : (36.3914, -113.7575), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1713.0, ""DISC"" : 182, ""CONT"" : 189.0}', '{""ID"" : 313532, ""COORDS"" : (36.3389, -113.7364), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 56.0, ""DISC"" : 182, ""CONT"" : 185.0}', '{""ID"" : 313537, ""COORDS"" : (36.4411, -113.6667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 118.0, ""DISC"" : 182, ""CONT"" : 187.0}', '{""ID"" : 313538, ""COORDS"" : (36.4617, -113.6633), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 140.0, ""DISC"" : 183, ""CONT"" : 184.0}', '{""ID"" : 313539, ""COORDS"" : (36.4289, -113.7419), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 35.0, ""DISC"" : 183, ""CONT"" : 185.0}', '{""ID"" : 313544, ""COORDS"" : (36.1289, -113.5844), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 184, ""CONT"" : 186.0}']"
142,BISCUIT COMPLEX,2002_OR-SIF-003_BISCUIT (FORMERLY FLORENCE),OR-SIF-003,OR-SIF-003,BISCUIT (FORMERLY FLORENCE),BISCUIT (FORMERLY FLORENCE),2002,89,"['{""ID"" : 155225, ""MTBS_ID"" : ""OR4244112390420020713(BISCUIT COMPLEX (BISCUIT))"", ""COORDS"" : (42.03888889, -123.91166667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 499945.0, ""DISC"" : 194, ""CONT"" : 312.0}']"
143,BISCUIT COMPLEX,2002_OR-SIF-003_BISCUIT (FORMERLY FLORENCE),OR-SIF-003,OR-SIF-003,BISCUIT COMPLEX,BISCUIT (FORMERLY FLORENCE),2002,12,"['{""ID"" : 155225, ""MTBS_ID"" : ""OR4244112390420020713(BISCUIT COMPLEX (BISCUIT))"", ""COORDS"" : (42.03888889, -123.91166667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 499945.0, ""DISC"" : 194, ""CONT"" : 312.0}']"
144,BISCUIT COMPLEX,2002_OR-SIF-003_BISCUIT (FORMERLY FLORENCE),OR-SIF-003,OR-SIF-003,BISCUIT-FLORENCE,BISCUIT (FORMERLY FLORENCE),2002,1,"['{""ID"" : 155225, ""MTBS_ID"" : ""OR4244112390420020713(BISCUIT COMPLEX (BISCUIT))"", ""COORDS"" : (42.03888889, -123.91166667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 499945.0, ""DISC"" : 194, ""CONT"" : 312.0}']"
145,BISCUIT COMPLEX,2002_OR-SIF-003_BISCUIT (FORMERLY FLORENCE),OR-SIF-003,OR-SIF-003,FLORENCE,BISCUIT (FORMERLY FLORENCE),2002,15,"['{""ID"" : 155225, ""MTBS_ID"" : ""OR4244112390420020713(BISCUIT COMPLEX (BISCUIT))"", ""COORDS"" : (42.03888889, -123.91166667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 499945.0, ""DISC"" : 194, ""CONT"" : 312.0}']"
146,BITTERCREEK COMPLEX,2003_WY-CMX-230_BITTERCREEK COMPLEX,WY-CMX-230,WY-CMX-230,BITTERCREEK COMPLEX,BITTERCREEK COMPLEX,2003,5,"['{""ID"" : 1301102, ""COORDS"" : (44.943611, -105.831389), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 410.0, ""DISC"" : 225, ""CONT"" : 229.0}']"
147,BITTERROOT FIRE USE COMPLEX,2007_MT-BRF-000160_BITTERROOT FIRE USE COMPLEX,MT-BRF-000160,MT-BRF-000160,BITTERROOT FIRE USE COMPLEX,BITTERROOT FIRE USE COMPLEX,2007,21,"['{""ID"" : 24989, ""COORDS"" : (45.52694444, -114.84666667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3.0, ""DISC"" : 188, ""CONT"" : 299.0}', '{""ID"" : 24990, ""MTBS_ID"" : ""ID4568011472320070706(BITTERROOT FIRE USE COMPLEX (MAGRUDER MTN #1))"", ""COORDS"" : (45.98361111, -114.46805556), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 4622.0, ""DISC"" : 201, ""CONT"" : 299.0}', '{""ID"" : 24994, ""MTBS_ID"" : ""ID4568011472320070706(BITTERROOT FIRE USE COMPLEX (MAGRUDER MTN #1))"", ""COORDS"" : (45.865, -114.47583333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1200.0, ""DISC"" : 209, ""CONT"" : 299.0}', '{""ID"" : 25012, ""MTBS_ID"" : ""ID4568011472320070706(BITTERROOT FIRE USE COMPLEX (MAGRUDER MTN #1))"", ""COORDS"" : (45.29, -114.51), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3147.0, ""DISC"" : 198, ""CONT"" : 299.0}', '{""ID"" : 25014, ""MTBS_ID"" : ""ID4568011472320070706(BITTERROOT FIRE USE COMPLEX (MAGRUDER MTN #1))"", ""COORDS"" : (45.85666667, -114.71333333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 205.0, ""DISC"" : 198, ""CONT"" : 299.0}', '{""ID"" : 25017, ""MTBS_ID"" : ""ID4568011472320070706(BITTERROOT FIRE USE COMPLEX (MAGRUDER MTN #1))"", ""COORDS"" : (45.72083333, -114.58638889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 608.0, ""DISC"" : 196, ""CONT"" : 299.0}', '{""ID"" : 25019, ""COORDS"" : (45.69194444, -114.81388889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.25, ""DISC"" : 187, ""CONT"" : 299.0}', '{""ID"" : 25020, ""COORDS"" : (45.79972222, -114.62138889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 38.0, ""DISC"" : 213, ""CONT"" : 299.0}', '{""ID"" : 25022, ""MTBS_ID"" : ""ID4568011472320070706(BITTERROOT FIRE USE COMPLEX (MAGRUDER MTN #1))"", ""COORDS"" : (45.51722222, -114.88416667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 6233.0, ""DISC"" : 195, ""CONT"" : 299.0}', '{""ID"" : 25024, ""COORDS"" : (45.715, -114.58277778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3.5, ""DISC"" : 196, ""CONT"" : 299.0}', '{""ID"" : 25025, ""MTBS_ID"" : ""ID4568011472320070706(BITTERROOT FIRE USE COMPLEX (MAGRUDER MTN #1))"", ""COORDS"" : (45.53833333, -114.91916667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 510.0, ""DISC"" : 195, ""CONT"" : 299.0}', '{""ID"" : 25030, ""MTBS_ID"" : ""ID4568011472320070706(BITTERROOT FIRE USE COMPLEX (MAGRUDER MTN #1))"", ""COORDS"" : (45.70055556, -114.81472222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 4025.0, ""DISC"" : 187, ""CONT"" : 299.0}', '{""ID"" : 25054, ""COORDS"" : (46.21694444, -114.40083333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 76.0, ""DISC"" : 222, ""CONT"" : 302.0}', '{""ID"" : 25062, ""COORDS"" : (46.02666667, -114.4275), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 216, ""CONT"" : 302.0}', '{""ID"" : 25074, ""COORDS"" : (45.84277778, -114.48638889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 40.0, ""DISC"" : 203, ""CONT"" : 299.0}', '{""ID"" : 25093, ""COORDS"" : (45.67083333, -114.8625), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.2, ""DISC"" : 231, ""CONT"" : 299.0}', '{""ID"" : 25095, ""COORDS"" : (45.68222222, -114.81416667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 214, ""CONT"" : 299.0}', '{""ID"" : 25100, ""COORDS"" : (45.7125, -114.76138889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 40.0, ""DISC"" : 195, ""CONT"" : 299.0}', '{""ID"" : 25105, ""COORDS"" : (45.85916667, -114.85166667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 249, ""CONT"" : 299.0}']"
